,Date,year,month,OVX_avg,OVX_sum,OVX_end,VIX_avg,VIX_sum,VIX_end,WorldOilProd,CrudeOilStock,PetroleumStockUS,PetroleumStockOECD,IndustrialProd,EconActivityShock,OilConsumptionDemandShock,InventoryDemandShock,OilSupplyShock,WTISpotPrice,GPR,CPI,StockVol,OilVol,VolRatio,ScaleFactor,OilInventory,identifier,IndexVol_avg,IndexVol_end
0,2007/6/1,2007,6,27.00285714,567.06,27.44,14.94761905,313.9,16.23,11.18888973,1044.341,1729.597,4161.746,4.713833541,-0.294944729,1.490130473,0.20984937,-1.688245836,3.483152854,97.97231293,207.234,0.001472436,0.00410938,2.790871559,2.406194044,7.829187608,200706,1.806498884516327,1.6906962415280344
1,2007/7/1,2007,7,27.72,582.12,30.69,17.27333333,362.74,23.52,11.19591248,1026.994,1733.466,4194.891,4.718302423,0.062478868,4.136340895,-0.856100437,0.293332958,3.576037156,112.3462524,207.603,0.002426257,0.003815696,1.572667545,2.419944204,7.818135851,200707,1.6047857972992638,1.3048469387755104
2,2007/8/1,2007,8,30.7173913,706.5,28.86,25.02608696,575.6,23.38,11.18698062,1010.976,1715.657,4176.211,4.722594935,-0.096013634,-2.207910849,-1.237275806,-0.655895074,3.551302519,83.17320251,207.667,0.00513396,0.006307368,1.228558084,2.434175945,7.808279758,200708,1.2274148710941744,1.234388366124893
3,2007/9/1,2007,9,29.85,567.15,29.32,22.19894737,421.78,18.0,11.19768554,1003.915,1716.535,4165.695,4.723232294,-0.016821989,5.070923735,-0.305436987,-0.845450778,3.646157002,94.48886871,208.547,0.001868479,0.003697069,1.978652017,2.42680458,7.79823804,200709,1.3446583526000766,1.6288888888888888
4,2007/10/1,2007,10,31.30043478,719.91,37.46,19.11565217,439.66,18.53,11.20692327,1001.368,1707.655,4132.156,4.729795537,0.15336189,2.836318896,-0.328162984,0.085275765,3.718597434,101.4730148,209.19,0.001682877,0.010174204,6.045720836,2.419783856,7.792800564,200710,1.637424373578147,2.021586616297895
5,2007/11/1,2007,11,36.97809524,776.54,37.26,25.58238095,537.23,22.87,11.20294066,995.028,1689.773,4088.918,4.733940638,0.049162735,2.665809967,-0.650538632,-1.552708568,3.803967962,89.7954483,210.834,0.005636835,0.009515154,1.688031334,2.419803133,7.786457064,200711,1.4454516689542143,1.629208570179274
6,2007/12/1,2007,12,33.323,666.46,36.35,21.651,433.02,22.5,11.20897593,983.046,1665.345,4083.121,4.736067738,-0.070311346,-2.468564086,0.555525647,0.265867617,3.770054748,94.96749115,211.445,0.002347426,0.00656835,2.798106915,2.451816891,7.787485252,200712,1.5390975012701493,1.6155555555555556
7,2008/1/1,2008,1,33.43428571,702.12,30.24,25.81619048,542.14,26.2,11.21011798,994.556,1676.55,4138.711,4.750814792,1.230590001,-1.483090007,1.356985354,-0.601484855,3.779825207,81.49982452,212.174,0.004831612,0.004295847,0.889112521,2.468587874,7.805942683,200801,1.2950898288382942,1.1541984732824426
8,2008/2/1,2008,2,32.667,653.34,34.82,25.456,509.12,26.54,11.21260223,1001.113,1663.623,4079.592,4.745369424,-0.78203499,2.456723085,-0.217370201,-0.672124716,3.802902917,80.75146484,212.687,0.003225643,0.006348735,1.968207999,2.452233469,7.805866889,200802,1.2832730986800756,1.3119819140919367
9,2008/3/1,2008,3,40.3085,806.17,39.32,27.1035,542.07,25.61,11.21502981,1015.031,1654.739,4095.95,4.742229349,-0.491012032,0.657917885,2.742032659,0.031640578,3.901056454,77.63613892,213.448,0.00633767,0.013840743,2.183885074,2.475284622,7.829029821,200803,1.4872064493515598,1.5353377586880126
10,2008/4/1,2008,4,39.68409091,873.05,38.52,21.56272727,474.38,20.79,11.20702687,1021.207,1666.413,4081.58,4.746517827,-0.155372012,2.603223239,-1.010568622,-0.346895282,3.963040486,71.90480804,213.942,0.002903735,0.006253826,2.153717892,2.449320787,7.824551296,200804,1.8404022094743122,1.8528138528138531
